source_text	source_dataset	source_id	target_text	target_dataset	target_id	pair_type	llm_confidence	llm_model	llm_reasoning	cluster_id	cluster_size	is_cross_source
Psychiatric medications (e.g. antidepressants, anti-anxiety medications, stimulants)	Arivale	arivale_b77892f7d867	Seen a psychiatrist for nerves, anxiety, tension or depression	Israeli10K	il10k_health_mental_past_psychiatrist	questionnaire_match	0.6541	sentence-transformers/all-MiniLM-L6-v2	Cluster 11 (size 3, sim=0.6541): Arivale ↔ Israeli10K semantic match	11	3	True
Psychiatric medications (e.g. antidepressants, anti-anxiety medications, stimulants)	Arivale	arivale_b77892f7d867	ACE touchscreen question Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?	UKBB	ukbb_2100	questionnaire_match	0.6541	sentence-transformers/all-MiniLM-L6-v2	Cluster 11 (size 3, sim=0.6541): Arivale ↔ UKBB semantic match	11	3	True
Seen a psychiatrist for nerves, anxiety, tension or depression	Israeli10K	il10k_health_mental_past_psychiatrist	ACE touchscreen question Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?	UKBB	ukbb_2100	questionnaire_match	0.6541	sentence-transformers/all-MiniLM-L6-v2	Cluster 11 (size 3, sim=0.6541): Israeli10K ↔ UKBB semantic match	11	3	True
Actinic keratosis	Arivale	arivale_f79c87bf8b46	Which eye(s) affected by astigmatism	Israeli10K	il10k_health_eyes_astigmatism_eye	questionnaire_match	0.6353	sentence-transformers/all-MiniLM-L6-v2	Cluster 14 (size 3, sim=0.6353): Arivale ↔ Israeli10K semantic match	14	3	True
Actinic keratosis	Arivale	arivale_f79c87bf8b46	ACE touchscreen question Which eye(s) are affected by astigmatism?	UKBB	ukbb_5855	questionnaire_match	0.6353	sentence-transformers/all-MiniLM-L6-v2	Cluster 14 (size 3, sim=0.6353): Arivale ↔ UKBB semantic match	14	3	True
Which eye(s) affected by astigmatism	Israeli10K	il10k_health_eyes_astigmatism_eye	ACE touchscreen question Which eye(s) are affected by astigmatism?	UKBB	ukbb_5855	questionnaire_match	0.6353	sentence-transformers/all-MiniLM-L6-v2	Cluster 14 (size 3, sim=0.6353): Israeli10K ↔ UKBB semantic match	14	3	True
Hip Fracture	Arivale	arivale_cd140624ab35	Hip pain for 3+ months	Israeli10K	il10k_health_pain_past_3_months_hip	questionnaire_match	0.603	sentence-transformers/all-MiniLM-L6-v2	Cluster 19 (size 3, sim=0.603): Arivale ↔ Israeli10K semantic match	19	3	True
Hip Fracture	Arivale	arivale_cd140624ab35	ACE touchscreen question Have you had hip pains for more than 3 months?	UKBB	ukbb_3414	questionnaire_match	0.603	sentence-transformers/all-MiniLM-L6-v2	Cluster 19 (size 3, sim=0.603): Arivale ↔ UKBB semantic match	19	3	True
Hip pain for 3+ months	Israeli10K	il10k_health_pain_past_3_months_hip	ACE touchscreen question Have you had hip pains for more than 3 months?	UKBB	ukbb_3414	questionnaire_match	0.603	sentence-transformers/all-MiniLM-L6-v2	Cluster 19 (size 3, sim=0.603): Israeli10K ↔ UKBB semantic match	19	3	True
Tendinopathy (e.g. achilles tendinopathy)	Arivale	arivale_f930e5a7f8fb	Leg pain in calf/calves	Israeli10K	il10k_health_legs_calfs_pain	questionnaire_match	0.5938	sentence-transformers/all-MiniLM-L6-v2	Cluster 25 (size 3, sim=0.5938): Arivale ↔ Israeli10K semantic match	25	3	True
Tendinopathy (e.g. achilles tendinopathy)	Arivale	arivale_f930e5a7f8fb	ACE touchscreen question Do you get this pain in your calf (calves)?	UKBB	ukbb_5463	questionnaire_match	0.5938	sentence-transformers/all-MiniLM-L6-v2	Cluster 25 (size 3, sim=0.5938): Arivale ↔ UKBB semantic match	25	3	True
Leg pain in calf/calves	Israeli10K	il10k_health_legs_calfs_pain	ACE touchscreen question Do you get this pain in your calf (calves)?	UKBB	ukbb_5463	questionnaire_match	0.5938	sentence-transformers/all-MiniLM-L6-v2	Cluster 25 (size 3, sim=0.5938): Israeli10K ↔ UKBB semantic match	25	3	True
How often do you do MUSCLE STRENGTHENING activities (e.g. weight training, sit-ups, push-ups)?	Arivale	arivale_12c937f921fd	Frequency of other exercises in last 4 weeks	Israeli10K	il10k_activity_other_monthly	questionnaire_match	0.5933	sentence-transformers/all-MiniLM-L6-v2	Cluster 26 (size 3, sim=0.5933): Arivale ↔ Israeli10K semantic match	26	3	True
How often do you do MUSCLE STRENGTHENING activities (e.g. weight training, sit-ups, push-ups)?	Arivale	arivale_12c937f921fd	ACE touchscreen question How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?	UKBB	ukbb_3637	questionnaire_match	0.5933	sentence-transformers/all-MiniLM-L6-v2	Cluster 26 (size 3, sim=0.5933): Arivale ↔ UKBB semantic match	26	3	True
Frequency of other exercises in last 4 weeks	Israeli10K	il10k_activity_other_monthly	ACE touchscreen question How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?	UKBB	ukbb_3637	questionnaire_match	0.5933	sentence-transformers/all-MiniLM-L6-v2	Cluster 26 (size 3, sim=0.5933): Israeli10K ↔ UKBB semantic match	26	3	True
Other heritable (Mendelian) disorder	Arivale	arivale_d7e3c1a5bd30	Frequency of depressed mood in last 2 weeks	Israeli10K	il10k_health_mental_past_two_week_depression_frequency	questionnaire_match	0.5903	sentence-transformers/all-MiniLM-L6-v2	Cluster 28 (size 3, sim=0.5903): Arivale ↔ Israeli10K semantic match	28	3	True
Other heritable (Mendelian) disorder	Arivale	arivale_d7e3c1a5bd30	Probable recurrent major depression (moderate).	UKBB	ukbb_20124	questionnaire_match	0.5903	sentence-transformers/all-MiniLM-L6-v2	Cluster 28 (size 3, sim=0.5903): Arivale ↔ UKBB semantic match	28	3	True
Frequency of depressed mood in last 2 weeks	Israeli10K	il10k_health_mental_past_two_week_depression_frequency	Probable recurrent major depression (moderate).	UKBB	ukbb_20124	questionnaire_match	0.5903	sentence-transformers/all-MiniLM-L6-v2	Cluster 28 (size 3, sim=0.5903): Israeli10K ↔ UKBB semantic match	28	3	True
Facial paralysis	Arivale	arivale_1f72727a4517	Facial pains for 3+ months	Israeli10K	il10k_health_pain_past_3_months_facial	questionnaire_match	0.5795	sentence-transformers/all-MiniLM-L6-v2	Cluster 36 (size 3, sim=0.5795): Arivale ↔ Israeli10K semantic match	36	3	True
