source_text	source_dataset	source_id	target_text	target_dataset	target_id	pair_type	llm_confidence	llm_model	llm_reasoning
Anorexia	Arivale	arivale_1be3f0b97278	Anorexia	HPO	HP:0002039	questionnaire_match	1.0	gpt-4	Extracted terms: Anorexia | Mapped to HPO: Anorexia
Ice cream	Arivale	arivale_ae80cff35b6f	Headache	HPO	HP:0002315	questionnaire_match	1.0	gpt-4	Extracted terms: Ice-cream headache | Mapped to HPO: Headache
Anemia (iron deficiency)	Arivale	arivale_41eb4d814a64	Iron deficiency anemia	HPO	HP:0001891	questionnaire_match	1.0	gpt-4	Extracted terms: Iron deficiency anemia | Mapped to HPO: Iron deficiency anemia
Malignant hyperthermia	Arivale	arivale_89c2a8e59b9e	Malignant hyperthermia	HPO	HP:0002047	questionnaire_match	1.0	gpt-4	Extracted terms: Malignant hyperthermia | Mapped to HPO: Malignant hyperthermia
Blocked lung artery (pulmonary embolus)	Arivale	arivale_d3b973db7de4	Pulmonary embolism	HPO	HP:0002204	questionnaire_match	1.0	gpt-4	Extracted terms: Pulmonary embolism | Mapped to HPO: Pulmonary embolism
Other neurocognitive condition	Arivale	arivale_97d72368c67d	Specific learning disability	HPO	HP:0001328	questionnaire_match	0.5	gpt-4	Extracted terms: Learning disability | Mapped to HPO: Specific learning disability
Are you currently lactating?	Arivale	arivale_8ad13f6d5c50	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Heart Transplantation	Arivale	arivale_931bf5f05cde	Congestive heart failure	HPO	HP:0001635	questionnaire_match	0.5	gpt-4	Extracted terms: Congestive heart failure | Mapped to HPO: Congestive heart failure
I don't find it easy to make decisions.	Arivale	arivale_2ded7ae8a8c0	Abulia	HPO	HP:0012671	questionnaire_match	0.7	gpt-4	Extracted terms: Abulia | Mapped to HPO: Abulia
I keep in the background.	Arivale	arivale_0b2423d12c80	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
What type of alcohol do you most often drink?	Arivale	arivale_76a6b5abdde3	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Water (e.g. 8 oz. cups)	Arivale	arivale_7bd7893bc719	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
I don't have particularly happy memories of the past.	Arivale	arivale_695e2bfe8d61	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Bronchitis (chronic)	Arivale	arivale_8967173e8387	Chronic bronchitis	HPO	HP:0004469	questionnaire_match	1.0	gpt-4	Extracted terms: Chronic bronchitis | Mapped to HPO: Chronic bronchitis
Myasthenia Gravis	Arivale	arivale_7479d3921284	Abnormal synaptic transmission at the neuromuscular junction	HPO	HP:0003398	questionnaire_match	0.9	gpt-4	Extracted terms: Abnormality of the neuromuscular junction | Mapped to HPO: Abnormal synaptic transmission at the neuromuscular junction
High Blood Pressure	Arivale	arivale_8d5730691993	Hypertension	HPO	HP:0000822	questionnaire_match	1.0	gpt-4	Extracted terms: Hypertension | Mapped to HPO: Hypertension
100% fruit juice	Arivale	arivale_6e8bad147b51	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Vitiligo	Arivale	arivale_1c0039994c07	Vitiligo	HPO	HP:0001045	questionnaire_match	1.0	gpt-4	Extracted terms: Vitiligo | Mapped to HPO: Vitiligo
I pay attention to details.	Arivale	arivale_79119a07647d	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Sarcoidosis	Arivale	arivale_b088236b2e1b	Hilar lymph node enlargement	HPO	HP:0034388	questionnaire_match	0.7	gpt-4	Extracted terms: Bilateral hilar lymphadenopathy | Mapped to HPO: Hilar lymph node enlargement
I follow a schedule.	Arivale	arivale_6c326e1f1132	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Chronic Fatigue Syndrome	Arivale	arivale_937205d1b550	Myalgia	HPO	HP:0003326	questionnaire_match	0.7	gpt-4	Extracted terms: Myalgia | Mapped to HPO: Myalgia
Do you usually take sugar in tea?	Arivale	arivale_d53bb9034eb7	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Diverticulosis	Arivale	arivale_7970f2fd9a8f	Bowel diverticulosis	HPO	HP:0005222	questionnaire_match	1.0	gpt-4	Extracted terms: Diverticulosis | Mapped to HPO: Bowel diverticulosis
Carpal tunnel syndrome	Arivale	arivale_3b5cad159bd8	Constrictive median neuropathy	HPO	HP:0012185	questionnaire_match	0.9	gpt-4	Extracted terms: Carpal tunnel syndrome | Mapped to HPO: Constrictive median neuropathy
Peptic ulcer	Arivale	arivale_3b770a326602	Peptic ulcer	HPO	HP:0004398	questionnaire_match	1.0	gpt-4	Extracted terms: Peptic ulcer | Mapped to HPO: Peptic ulcer
Shortness of breath	Arivale	arivale_af342ae45a5f	Dyspnea	HPO	HP:0002094	questionnaire_match	1.0	gpt-4	Extracted terms: Dyspnea | Mapped to HPO: Dyspnea
Back pain or back problems	Arivale	arivale_2224d17bff1f	Spinal canal stenosis	HPO	HP:0003416	questionnaire_match	0.5	gpt-4	Extracted terms: Spinal pain | Mapped to HPO: Spinal canal stenosis
I don't feel particularly healthy.	Arivale	arivale_648d4a3aa164	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Are you exposed to second-hand smoke?	Arivale	arivale_e18a76d42266	Electronic cigarette exposure history	HPO	HP:0430032	questionnaire_match	0.7	gpt-4	Extracted terms: Exposure to cigarette smoke | Mapped to HPO: Electronic cigarette exposure history
Please list all current prescription medications with dosages.	Arivale	arivale_e6ddd9ce6755	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
When it comes to accountability:	Arivale	arivale_39df161f4405	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
I feel rundown and don't have much energy.	Arivale	arivale_8415249413a9	Fatigue	HPO	HP:0012378	questionnaire_match	0.9	gpt-4	Extracted terms: Fatigue | Mapped to HPO: Fatigue
Seizures or Epilepsy	Arivale	arivale_cc6c2cb4aa20	Seizure cluster	HPO	HP:0033349	questionnaire_match	0.7	gpt-4	Extracted terms: Recurrent seizures | Mapped to HPO: Seizure cluster
Currently suffer from abdominal distension	Israeli10K	il10k_abdomen_pain_current_distension	Abdominal distention	HPO	HP:0003270	questionnaire_match	1.0	gpt-4	Extracted terms: Abdominal distension | Mapped to HPO: Abdominal distention
